Device : CargoWatch
Truck/Trailer ID: 1110SP
Serial Number: 002131510350T2
Unit Serial Number: 0000005001175486
Software Version: 6512
Temperature: °C
Pressure: Bar

Time,Setpoint Temperature,Logger Sensor 1,Op Mode Zone-1,Setpoint Temperature 2,Logger Sensor 2,Op Mode Zone-2,Logger Sensor 3,Logger Sensor 4,Op Mode,
4/22/2011 12:56,	3,	17.2,	,	3,	18.6,	,	16.6,	18.9
4/22/2011 12:56,	Setpoint Temperature: 3.0
4/22/2011 12:57,	Door Switch Feedback: CLOSE
4/22/2011 12:57,	Setpoint Temperature 2: 3.0
4/22/2011 12:57,	Door Switch Feedback 2: CLOSE
4/22/2011 12:57,	Setpoint Temperature: 15.0
4/22/2011 13:00,	Power down
4/23/2011 10:10,	Spare Digital Input 1: 1.0
4/23/2011 10:10,	Power up
4/23/2011 10:10,	15,	18.6,	,	3,	19.4,	,	18.7,	20.7
4/23/2011 10:10,	Setpoint Temperature: 15.0
4/23/2011 10:10,	Door Switch Feedback: CLOSE
4/23/2011 10:10,	Setpoint Temperature 2: 3.0
4/23/2011 10:10,	Door Switch Feedback 2: CLOSE
4/23/2011 10:11,	Setpoint Temperature: 1.0
4/23/2011 10:25,	1,	6.3,	High Cool,	3,	9.9,	Off,	17.5,	16.9,"Diesel, Continuous"
4/23/2011 10:40,	1,	3.4,	Cool,	3,	5.3,	Off,	13.4,	13.1,"Diesel, Continuous"
4/23/2011 10:55,	1,	1.6,	Cool,	3,	3.8,	Off,	10.7,	10.8,"Diesel, Continuous"
4/23/2011 11:10,	1,	2.8,	Cool,	3,	3.6,	Off,	9.3,	9.4,"Diesel, Continuous"
4/23/2011 11:25,	1,	0.7,	Heat,	3,	2.4,	Off,	8.2,	8.4,"Diesel, Continuous"
4/23/2011 11:40,	1,	2.2,	Cool,	3,	3,	Off,	7.6,	7.8,"Diesel, Continuous"
4/23/2011 11:54,	Power down
4/23/2011 14:26,	Spare Digital Input 1: 1.0
4/23/2011 14:26,	Power up
4/23/2011 14:26,	1,	21.3,	,	3,	22.3,	,	22.7,	25.4
4/23/2011 14:26,	Setpoint Temperature: 1.0
4/23/2011 14:26,	Door Switch Feedback: CLOSE
4/23/2011 14:26,	Setpoint Temperature 2: 3.0
4/23/2011 14:26,	Door Switch Feedback 2: CLOSE
4/23/2011 14:26,	Spare Digital Input 1: 1.0
4/23/2011 14:26,	Power up
4/25/2011 15:42,	Spare Digital Input 1: 1.0
4/25/2011 15:42,	Power up
4/25/2011 15:42,	1,	20.2,	,	3,	20.7,	,	20.4,	21.3
4/25/2011 15:42,	Setpoint Temperature: 1.0
4/25/2011 15:42,	Door Switch Feedback: CLOSE
4/25/2011 15:42,	Setpoint Temperature 2: 3.0
4/25/2011 15:42,	Door Switch Feedback 2: CLOSE
4/25/2011 15:43,	Setpoint Temperature: 12.0
4/25/2011 15:48,	Power down
4/26/2011 17:07,	Spare Digital Input 1: 1.0
4/26/2011 17:07,	Power up
4/26/2011 17:07,	12,	16,	,	3,	17.1,	,	16.8,	16.6
4/26/2011 17:07,	Setpoint Temperature: 12.0
4/26/2011 17:08,	Door Switch Feedback: CLOSE
4/26/2011 17:08,	Setpoint Temperature 2: 3.0
4/26/2011 17:08,	Door Switch Feedback 2: CLOSE
4/26/2011 17:22,	12,	13.1,	High Cool,	3,	8.2,	Off,	15.9,	13.1,"Diesel, Continuous"
4/26/2011 17:37,	12,	12.2,	Heat,	3,	7.1,	Off,	14.5,	11,"Diesel, Continuous"
4/26/2011 17:52,	12,	12,	Heat,	3,	8.2,	Off,	14.4,	11.8,"Diesel, Continuous"
4/26/2011 18:07,	12,	11.8,	Heat,	3,	6.6,	Off,	14.4,	11.7,"Diesel, Continuous"
4/26/2011 18:22,	12,	11.9,	Cool,	3,	6.8,	Off,	14.4,	11.6,"Diesel, Continuous"
4/26/2011 18:37,	12,	12.2,	Cool,	3,	7.6,	Off,	14.3,	11.7,"Diesel, Continuous"
4/26/2011 18:52,	12,	12.5,	Cool,	3,	9,	Off,	14.3,	11.9,"Diesel, Continuous"
4/26/2011 19:07,	12,	12.9,	Cool,	3,	11.7,	Off,	14.1,	12.2,"Diesel, Continuous"
4/26/2011 19:22,	12,	12.6,	Heat,	3,	11.3,	Off,	14,	11.8,"Diesel, Continuous"
4/26/2011 19:37,	12,	12.1,	Heat,	3,	9.7,	Off,	13.9,	11.3,"Diesel, Continuous"
4/26/2011 19:52,	12,	12.1,	Cool,	3,	8.1,	Off,	13.8,	11.5,"Diesel, Continuous"
4/26/2011 20:07,	12,	12.7,	Cool,	3,	10.1,	Off,	13.7,	12,"Diesel, Continuous"
4/26/2011 20:22,	12,	12.8,	Heat,	3,	12.2,	Off,	13.4,	12,"Diesel, Continuous"
4/26/2011 20:37,	12,	12.3,	Heat,	3,	11,	Off,	13.3,	11.4,"Diesel, Continuous"
4/26/2011 20:52,	12,	11.9,	Cool,	3,	7.8,	Off,	13.3,	11.3,"Diesel, Continuous"
4/26/2011 21:07,	12,	12.9,	Cool,	3,	12.8,	Off,	13.3,	12.5,"Diesel, Continuous"
