Time,Setpoint Zone-1,Return Zone-1,Discharge Zone-1,Coil Zone-1,Op Mode Zone-1,Ambient,Spare-1,Setpoint Zone-2,Return Zone-2,Discharge Zone-2,Coil Zone-2,Spare-2,Op Mode Zone-2,Spare-3,Unit Operating Mode,
6/16/2011 00:36,	Defrost State Exited Zone 1
6/16/2011 00:36,	Zone-1 Op Mode:  Cool
6/16/2011 00:36,	-1,	8.7,	15.3,	15.4,	Cool,	16.5,	-----,	1,	11.5,	11.3,	12.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:41,	-1,	5.9,	1.2,	2.9,	Cool,	18,	-----,	1,	11.5,	11.4,	12.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:46,	-1,	4.2,	-0.4,	0.8,	Cool,	17.4,	-----,	1,	11.3,	11.3,	12.9,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:51,	-1,	3.2,	-1.6,	-1.6,	Cool,	17.7,	-----,	1,	11.3,	11.3,	13,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 00:56,	-1,	2.8,	-2.4,	-3.2,	Cool,	17.5,	-----,	1,	11.2,	11.3,	13,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:01,	-1,	2.8,	-2.8,	-4,	Cool,	17.1,	-----,	1,	11.5,	11.4,	13.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:06,	-1,	3.1,	-1.1,	-5.1,	Cool,	16.9,	-----,	1,	11.2,	11.4,	13.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:11,	-1,	2.8,	-2.4,	-9.6,	Cool,	17.5,	-----,	1,	11.1,	11.2,	12.9,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:16,	-1,	3.6,	-1.5,	-10.1,	Cool,	17.3,	-----,	1,	10.8,	11.1,	12.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:21,	-1,	4,	0.1,	-11.8,	Cool,	17.3,	-----,	1,	10.6,	10.9,	12.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:26,	-1,	4,	0.2,	-14,	Cool,	17.4,	-----,	1,	10.3,	10.8,	12.4,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:28,	Variable Differential Defrost Entered Zone 1
6/16/2011 01:28,	Zone-1 Op Mode:  Defrost
6/16/2011 01:28,	-1,	4,	0.2,	-14.3,	Defrost,	17.5,	-----,	1,	10.4,	10.8,	12.3,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 01:33,	-1,	6,	1.6,	0.3,	Defrost,	16.6,	-----,	1,	10.9,	10.8,	12.3,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 01:38,	-1,	6.7,	7.7,	3.6,	Defrost,	16.5,	-----,	1,	11.1,	10.9,	12.4,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 01:40,	Zone-1 Op Mode:  Defrost
6/16/2011 01:41,	Defrost State Exited Zone 1
6/16/2011 01:41,	Zone-1 Op Mode:  Cool
6/16/2011 01:41,	-1,	7.9,	16.2,	15.5,	Cool,	16.2,	-----,	1,	11.2,	11,	12.5,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:46,	-1,	5.3,	0.6,	2.2,	Cool,	17.1,	-----,	1,	11.2,	11.1,	12.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:51,	-1,	3.5,	-1.3,	0.2,	Cool,	17.1,	-----,	1,	11.1,	11.2,	12.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 01:56,	-1,	2.3,	-2.7,	-3.2,	Cool,	17.3,	-----,	1,	10.9,	11.1,	12.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:01,	-1,	1.8,	-3.3,	-4.4,	Cool,	17,	-----,	1,	10.7,	11.1,	12.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:06,	-1,	1.5,	-4,	-5.2,	Cool,	17.3,	-----,	1,	10.7,	11,	12.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:11,	-1,	1.6,	-4.5,	-6.2,	Cool,	16.7,	-----,	1,	10.5,	11,	12.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:16,	-1,	2,	-2.5,	-8.8,	Cool,	16.5,	-----,	1,	10.1,	10.5,	12.3,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:21,	-1,	2.2,	-3.1,	-10.8,	Cool,	17,	-----,	1,	9.8,	10.5,	12.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:26,	-1,	2.4,	-2.2,	-12.3,	Cool,	16.6,	-----,	1,	9.8,	10.3,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:31,	-1,	3.2,	-0.4,	-14.2,	Cool,	16.5,	-----,	1,	9.7,	10.2,	11.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:34,	Variable Differential Defrost Entered Zone 1
6/16/2011 02:34,	Zone-1 Op Mode:  Defrost
6/16/2011 02:34,	-1,	3.1,	-0.8,	-15.3,	Defrost,	16.1,	-----,	1,	9.8,	10.2,	11.8,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 02:39,	-1,	5.2,	1.2,	0.2,	Defrost,	15.5,	-----,	1,	10.1,	10.3,	11.8,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 02:44,	-1,	6,	7.4,	3.2,	Defrost,	15.5,	-----,	1,	10.3,	10.4,	11.9,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 02:46,	Zone-1 Op Mode:  Defrost
6/16/2011 02:47,	Defrost State Exited Zone 1
6/16/2011 02:47,	Zone-1 Op Mode:  Cool
6/16/2011 02:47,	-1,	7.1,	16.5,	15.4,	Cool,	15.4,	-----,	1,	10.5,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:52,	-1,	4.5,	-0.2,	1.2,	Cool,	16.6,	-----,	1,	10.5,	10.5,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 02:57,	-1,	2.7,	-2.2,	-2,	Cool,	16.8,	-----,	1,	10.4,	10.5,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:02,	-1,	1.7,	-3.4,	-4.1,	Cool,	16.1,	-----,	1,	10.3,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:07,	-1,	1.2,	-4,	-5.1,	Cool,	16.4,	-----,	1,	10.5,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:12,	-1,	1.2,	-4.3,	-5.4,	Cool,	16.1,	-----,	1,	10.4,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:17,	-1,	1.2,	-5.1,	-6.8,	Cool,	15.9,	-----,	1,	10.4,	10.5,	12.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:22,	-1,	1.2,	-6.7,	-10,	Cool,	15.5,	-----,	1,	10.2,	10.4,	12.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:27,	-1,	1.3,	-7.9,	-11.4,	Cool,	15.5,	-----,	1,	10.2,	10.5,	12.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:32,	-1,	1.1,	-4.8,	-13.8,	Cool,	15.8,	-----,	1,	10.2,	10.5,	12.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:37,	-1,	1.4,	-4.3,	-15.8,	Cool,	15.8,	-----,	1,	10.2,	10.5,	12.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 03:41,	Variable Differential Defrost Entered Zone 1
6/16/2011 03:41,	Zone-1 Op Mode:  Defrost
6/16/2011 03:41,	-1,	2.1,	-3.8,	-16.3,	Defrost,	15.8,	-----,	1,	10.3,	10.5,	12.2,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 03:46,	-1,	5.3,	0.8,	-0.2,	Defrost,	15,	-----,	1,	10.5,	10.6,	12.2,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 03:51,	-1,	5.6,	6.7,	1.9,	Defrost,	14.7,	-----,	1,	10.6,	10.6,	12.2,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 03:54,	Zone-1 Op Mode:  Defrost
6/16/2011 03:55,	Defrost State Exited Zone 1
6/16/2011 03:55,	Zone-1 Op Mode:  Cool
6/16/2011 03:55,	-1,	6.8,	16.7,	15.3,	Cool,	14.3,	-----,	1,	10.6,	10.6,	12.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:00,	-1,	4,	-0.6,	0.9,	Cool,	15.5,	-----,	1,	10.5,	10.6,	12.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:05,	-1,	2.2,	-2.5,	-1.2,	Cool,	15.5,	-----,	1,	10.4,	10.5,	12.2,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:10,	-1,	1.2,	-3.8,	-4,	Cool,	15.8,	-----,	1,	10.2,	10.4,	12.1,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:15,	-1,	0.8,	-4.2,	-5.1,	Cool,	15.9,	-----,	1,	10.1,	10.4,	12,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:20,	-1,	0.6,	-5,	-5.9,	Cool,	15.3,	-----,	1,	10,	10.3,	11.9,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:25,	-1,	0.8,	-5.6,	-7.1,	Cool,	15.2,	-----,	1,	9.9,	10.2,	11.8,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:30,	-1,	1,	-7,	-9.3,	Cool,	15.5,	-----,	1,	9.7,	10.1,	11.7,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:35,	-1,	0.9,	-8.6,	-12.2,	Cool,	15.5,	-----,	1,	9.5,	10,	11.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:40,	-1,	1.2,	-4.7,	-13.8,	Cool,	15.7,	-----,	1,	9.7,	10,	11.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:45,	-1,	1.7,	-4.1,	-15.5,	Cool,	15.4,	-----,	1,	10,	10,	11.6,	-----,	Off,	-----,"Diesel, Continuous, High Speed"
6/16/2011 04:49,	Variable Differential Defrost Entered Zone 1
6/16/2011 04:49,	Zone-1 Op Mode:  Defrost
6/16/2011 04:49,	-1,	2.5,	-3.4,	-15.9,	Defrost,	15.5,	-----,	1,	9.8,	9.9,	11.6,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 04:54,	-1,	4.3,	0.5,	-0.3,	Defrost,	14.8,	-----,	1,	9.5,	9.9,	11.4,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 04:59,	-1,	4.3,	6.3,	1.6,	Defrost,	14.9,	-----,	1,	9.3,	9.8,	11.3,	-----,	Off,	-----,"Diesel, Continuous"
6/16/2011 05:03,	Zone-1 Op Mode:  Defrost
6/16/2011 05:04,	Defrost State Exited Zone 1
6/16/2011 05:04,	Zone-1 Op Mode:  Cool
