Device : ServiceWatch
Truck/Trailer ID: ee700187
Serial Number: A06935012373T1
Unit Serial Number: 0000006001127950
Software Version: D030
Temperature: °C
Pressure: Bar

Time,Setpoint,Return Control,Discharge Control,Coil,Ambient,Spare-1,Op Mode,Fuel Level,
4/18/2013 22:53,	-23.3,	-23.4,	-29.9,	-27.2,	4.4,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 23:08,	-23.3,	-20.7,	-22.9,	-23.6,	4.2,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 23:09,	-23.3,	-20.6,	-22.7,	-23.4,	4.9,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 23:10,	-23.3,	-20.1,	-22.3,	-22.8,	5.4,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 23:21,	-23.3,	-23.4,	-29.8,	-27.7,	8.9,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 23:36,	-23.3,	-20.8,	-22.9,	-23.9,	14.8,	-----,"Diesel, Cycle-Sentry, Null",	35
4/18/2013 23:36,	-23.3,	-20.6,	-22.5,	-23.7,	14.9,	-----,"Start, Diesel, Cycle-Sentry",	35
4/18/2013 23:37,	-23.3,	-20.2,	-22.3,	-23.1,	14.7,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/18/2013 23:48,	-23.3,	-23.4,	-29.8,	-27.6,	9.4,	-----,"Diesel, Cycle-Sentry, Null",	35
4/19/2013 00:00,	Clock Set
4/19/2013 00:00,	-23.3,	-21.2,	-24.3,	-24.3,	12.4,	-----,"Diesel, Cycle-Sentry, Null",	35
4/19/2013 00:03,	-23.3,	-20.6,	-22.9,	-23.6,	13.7,	-----,"Start, Diesel, Cycle-Sentry",	35
4/19/2013 00:03,	-23.3,	-20.2,	-22.7,	-23.1,	13.1,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/19/2013 00:05,	-23.3,	-19.8,	-24.6,	-24.1,	10.5,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/19/2013 00:05,	Current Id Low Word: 1H
4/19/2013 00:05,	Current Id High Word: 0H
4/19/2013 00:13,	-23.3,	-23.4,	-29.9,	-27.4,	9.3,	-----,"Diesel, Cycle-Sentry, Null",	35
4/19/2013 00:28,	-23.3,	-20.7,	-23.2,	-23.6,	5.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 00:29,	-23.3,	-20.5,	-22.8,	-23.5,	5.3,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 00:29,	-23.3,	-18.9,	-22,	-22.7,	5.7,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/19/2013 00:30,	-23.3,	-18.3,	-21.9,	-22.2,	5.8,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/19/2013 00:45,	-23.3,	-13.2,	-22,	-19.4,	5.8,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/19/2013 01:00,	-23.3,	-13.2,	-22.2,	-20.3,	7.7,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/19/2013 01:15,	-23.3,	-19.6,	-27.2,	-25.2,	10.2,	-----,"Diesel, Cycle-Sentry, High Cool",	35
4/19/2013 01:22,	-23.3,	-21.4,	-28.9,	-27.5,	11.1,	-----,"Diesel, Cycle-Sentry, Cool",	35
4/19/2013 01:26,	Variable Differential Defrost Entered 
4/19/2013 01:26,	-23.3,	-21.5,	-29.8,	-29.5,	10,	-----,"Diesel, Cycle-Sentry, Defrost",	35
4/19/2013 01:41,	-23.3,	-13,	18.8,	18.7,	5.3,	-----,"Diesel, Cycle-Sentry, Defrost",	30
4/19/2013 01:43,	Defrost State Exited 
4/19/2013 01:43,	-23.3,	-10.2,	22.3,	18.4,	5.7,	-----,"Diesel, Cycle-Sentry, High Cool",	30
4/19/2013 01:58,	-23.3,	-16.4,	-23.1,	-21,	10.2,	-----,"Diesel, Cycle-Sentry, High Cool",	30
4/19/2013 02:13,	-23.3,	-11.9,	-19.9,	-17.9,	10.2,	-----,"Diesel, Cycle-Sentry, High Cool",	30
4/19/2013 02:27,	Current Id Low Word: 1H
4/19/2013 02:27,	Current Id High Word: 0H
4/19/2013 02:28,	-20.6,	-13.7,	-21.1,	-18.9,	7.3,	-----,"Diesel, Cycle-Sentry, High Cool",	30
4/19/2013 02:33,	-20.6,	-18.7,	-25.1,	-23.3,	10.2,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 02:40,	-20.6,	-20.6,	-27.8,	-25.5,	10,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 02:55,	-20.6,	-18.2,	-21.1,	-21.9,	14.1,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 02:58,	-20.6,	-17.8,	-20.1,	-21.2,	13.6,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 02:59,	-20.6,	-17.6,	-19.9,	-20.5,	12,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 03:08,	-20.6,	-20.6,	-27.8,	-25.5,	11.8,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 03:23,	-20.6,	-18.5,	-21,	-22.4,	9.4,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 03:27,	-20.6,	-17.8,	-19.3,	-21.1,	6,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 03:28,	-20.6,	-17.4,	-19.3,	-20.5,	5.3,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 03:37,	-20.6,	-20.6,	-28.2,	-26.1,	3.4,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 03:52,	-20.6,	-18.6,	-21.2,	-22.2,	13.3,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 03:56,	-20.6,	-17.8,	-19.4,	-21,	13.1,	-----,"Start, Diesel, Cycle-Sentry",	30
4/19/2013 03:57,	-20.6,	-17.5,	-19.5,	-20.5,	11,	-----,"Diesel, Cycle-Sentry, Cool",	30
4/19/2013 04:05,	-20.6,	-20.6,	-28.2,	-25.6,	3.5,	-----,"Diesel, Cycle-Sentry, Null",	30
4/19/2013 04:20,	-20.6,	-18.7,	-21.4,	-22.2,	6.3,	-----,"Diesel, Cycle-Sentry, Null",	30
